date(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-10-03, 2590, Delhi 
2023-10-04, 2590, Delhi 
2023-10-05, 2590, Delhi 
2023-10-06, 2600, Delhi 
2023-10-08, 2620, Delhi 
2023-10-09, 2630, Delhi 
2023-10-10, 2650, Delhi 
2023-10-11, 2675, Delhi 
2023-10-12, 2675, Delhi 
2023-10-13, 2735, Delhi 
2023-10-14, 2715, Delhi 
2023-10-16, 2710, Delhi 
2023-10-17, 2745, Delhi 
2023-10-18, 2760, Delhi 
2023-10-19, 2750, Delhi 
2023-10-20, 2750, Delhi 
2023-10-21, 2765, Delhi 
2023-10-23, 2800, Delhi 
2023-10-25, 2810, Delhi 
2023-10-26, 2885, Delhi 
2023-10-27, 2885, Delhi
2023-10-28, 2825, Delhi
2023-10-30, 2820, Delhi
2023-10-31, 2820, Delhi
2023-11-01, 2810, Delhi
2023-11-02, 2800, Delhi
2023-11-03, 2820, Delhi
2023-11-04, 2850, Delhi
2023-11-07, 2800, Delhi
2023-11-08, 2800, Delhi
2023-11-09, 2710, Delhi
2023-11-10, 2700, Delhi
2023-11-11, 2750, Delhi
2023-11-15, 2700, Delhi
2023-11-16, 2700, Delhi
2023-11-17, 2675, Delhi
2023-11-18, 2650, Delhi
2023-11-20, 2650, Delhi
2023-11-21, 2725, Delhi
2023-11-22, 2725, Delhi
2023-11-23, 2730, Delhi
2023-11-24, 2725, Delhi
2023-11-25, 2730, Delhi
2023-11-27, 2750, Delhi
2023-11-28, 2750, Delhi
2023-11-29, 2800, Delhi
2023-11-30, 2820, Delhi
2023-12-01, 2820, Delhi
2023-12-02, 2800, Delhi
2023-12-04, 2810, Delhi
2023-12-05, 2795, Delhi
2023-12-06, 2760, Delhi
