date(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-10-28,  12500, Solapur (M.H.)
2023-10-30,  12500, Solapur (M.H.)
2023-10-31,  12600, Solapur (M.H.)
2023-11-01,  12500, Solapur (M.H.)
2023-11-02,  12500, Solapur (M.H.)
2023-11-03,  12500, Solapur (M.H.)
2023-11-04,  12400, Solapur (M.H.)
2023-11-06,  12300, Solapur (M.H.)
2023-11-07,  12200, Solapur (M.H.)
2023-11-08,  12000, Solapur (M.H.)
2023-11-09,  11900, Solapur (M.H.)
2023-11-14,  11650, Solapur (M.H.)
2023-11-15,  11650, Solapur (M.H.)
2023-11-16,  11550, Solapur (M.H.)
2023-11-17,  11500, Solapur (M.H.)
2023-11-18,  11350, Solapur (M.H.)
2023-11-20,  11250, Solapur (M.H.)
2023-11-21,  11050, Solapur (M.H.)
2023-11-22,  11000, Solapur (M.H.)
2023-11-23,  10800, Solapur (M.H.)
2023-11-24,  10400, Solapur (M.H.)
2023-11-25,  10400, Solapur (M.H.)
2023-11-27,  10400, Solapur (M.H.)
2023-11-28,  10400, Solapur (M.H.)
2023-11-29,  10400, Solapur (M.H.)
2023-11-30,  10400, Solapur (M.H.)
2023-12-01,  10500, Solapur (M.H.)
2023-12-02,  10700, Solapur (M.H.)
2023-12-04,  11100, Solapur (M.H.)
2023-12-05,  11100, Solapur (M.H.)
2023-12-06,  10800, Solapur (M.H.)
2023-12-07,  10900, Solapur (M.H.)
2023-12-08,  10800, Solapur (M.H.)
2023-12-09,  10800, Solapur (M.H.)
2023-12-11,  10500, Solapur (M.H.)
2023-12-12,  10500, Solapur (M.H.)
2023-12-13,  10400, Solapur (M.H.)
2023-12-14,  10200, Solapur (M.H.)
2023-12-15,  10100, Solapur (M.H.)
2023-12-16,  10000, Solapur (M.H.)
2023-12-18,  10000, Solapur (M.H.)
2023-12-19,  9900, Solapur (M.H.)
2023-12-20,  9900, Solapur (M.H.)
2023-12-21,  9900, Solapur (M.H.)
2023-12-22,  9700, Solapur (M.H.)
2023-12-23,  9900, Solapur (M.H.)
2023-12-25,  9900, Solapur (M.H.)
2023-12-26,  9900, Solapur (M.H.)
2023-12-27,  9800, Solapur (M.H.)
2023-12-28,  9600, Solapur (M.H.)
2023-12-29,  9400, Solapur (M.H.)
2023-12-30,  9200, Solapur (M.H.)
2024-01-01,  8900, Solapur (M.H.)
2024-01-02,  8900, Solapur (M.H.)
2024-01-03,  9250, Solapur (M.H.)
2024-01-04,  8900, Solapur (M.H.)
2024-01-05,  9200, Solapur (M.H.)
2024-01-06,  9200, Solapur (M.H.)
2024-01-08,  9550, Solapur (M.H.)
2024-01-09,  9400, Solapur (M.H.)
2024-01-10,  9650, Solapur (M.H.)
2024-01-11,  9650, Solapur (M.H.)
2024-01-12,  9600, Solapur (M.H.)
2024-01-13,  9525, Solapur (M.H.)
2024-01-15,  9400, Solapur (M.H.)
2024-01-16,  9400, Solapur (M.H.)
2024-01-17,  9700, Solapur (M.H.)
2024-01-18,  9800, Solapur (M.H.)
2024-01-19,  10300, Solapur (M.H.)
2024-01-20,  10200, Solapur (M.H.)
2024-01-22,  9925, Solapur (M.H.)
2024-01-23,  9900, Solapur (M.H.)
2024-01-24,  10250, Solapur (M.H.)
2024-01-25,  10450, Solapur (M.H.)
2024-01-27,  10150, Solapur (M.H.)
2024-01-29,  10450, Solapur (M.H.)
2024-01-30,  10400, Solapur (M.H.)
2024-01-31,  10200, Solapur (M.H.)
2024-02-01,  10500, Solapur (M.H.)
2024-02-02,  10800, Solapur (M.H.)
2024-02-03,  10550, Solapur (M.H.)
2024-02-05,  10700, Solapur (M.H.)
2024-02-06,  10850, Solapur (M.H.)
2024-02-07,  10700, Solapur (M.H.)
2024-02-08,  10500, Solapur (M.H.)
2024-02-09,  10800, Solapur (M.H.)
2024-02-10,  10700, Solapur (M.H.)
2024-02-12,  10700, Solapur (M.H.)
2024-02-13,  10600, Solapur (M.H.)
2024-02-14,  10550, Solapur (M.H.)
2024-02-15,  10450, Solapur (M.H.)
2024-02-16,  10400, Solapur (M.H.)
2024-02-17,  10350, Solapur (M.H.)
2024-02-19,  10400, Solapur (M.H.)
2024-02-20,  10475, Solapur (M.H.)
2024-02-21,  10500, Solapur (M.H.)
2024-02-22,  10575, Solapur (M.H.)
2024-02-23,  10575, Solapur (M.H.)
2024-02-24,  10400, Solapur (M.H.)
2024-02-26,  10300, Solapur (M.H.)
2024-02-27,  10350, Solapur (M.H.)
2024-02-28,  10350, Solapur (M.H.)
2024-02-29,  10300, Solapur (M.H.)
2024-03-01,  10300, Solapur (M.H.)
2024-03-02,  10550, Solapur (M.H.)
